ID_Gunung,Nama_Gunung,Lokasi_Kabupaten,Ketinggian_MDPL,Tingkat_Kesulitan_Pendakian,Cocok_Untuk_Pemula,Durasi_Pendakian_Hari,Budget_Per_Orang_Rupiah,Jumlah_Pos_Pendakian,Keberadaan_Sumber_Air,Fitur_Utama_Objek_Wisata,Karakteristik_Jalur,Fasilitas_Basecamp,Akses_Transportasi,Pemandangan_Utama,Musim_Terbaik_Kunjungan,Rating_Rata_Rata
432,Butak,Malang; Blitar,2868,Sedang,Tidak,3,450000,4,Tidak,"Situs purbakala, Puncak kembar","Jalur berpasir vulkanik, Medan berbatu",Penyewaan alat camping,Dekat jalan raya utama,Savana,Kemarau,3.5
433,Ijen,Banyuwangi,2386,Sedang,Tidak,3,300000,3,Tergantung Musim,"Jalur utama, Air terjun tersembunyi, Panorama kota","Hutan lebat dan lembab, Area padang rumput","Shelter, Petugas siaga, Sumber air",Jalur pedesaan yang sempit,Pemandangan danau,Hindari Musim Hujan,4.2
434,Blorobrubuh,Mojokerto,2282,Mudah,Ya,2,300000,1,Tidak,Lautan pasir,Tanjakan terjal,"Jasa porter, Petugas siaga",Membutuhkan kendaraan pribadi,Pemandangan kota,Hindari Musim Hujan,3.3
435,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,2,900000,4,Tergantung Musim,Banyak air terjun kecil,"Jalur berpasir vulkanik, Hutan lebat dan lembab, Jalur panjang dan melelahkan",Area parkir,Membutuhkan ojek lokal,Hutan hijau lebat,Hindari Musim Hujan,5.0
436,Panderman,Batu,2045,Sedang,Tidak,2,450000,2,Tidak,"View matahari terbit, Artefak kuno, Budaya lokal kental",Jalur panjang dan melelahkan,Warung,Membutuhkan ojek lokal,Pemandangan pegunungan,Musim Kemarau Awal,4.1
437,Semeru,Malang; Lumajang,3676,Sulit,Tidak,4,600000,5,Tergantung Musim,"Kawah belerang, Pemandangan kota dari ketinggian, Savana hijau","Jalur aman dan terpelihara, Medan berbatu, Jalur licin saat hujan","Petugas siaga, Sumber air",Dekat jalan raya utama,Pemandangan kawah,Sepanjang Tahun,4.7
438,Kawi,Malang,2551,Sedang,Tidak,1,600000,4,Tergantung Musim,"Lautan pasir, Pemandangan kota dari ketinggian, Banyak air terjun kecil","Jalur panjang dan melelahkan, Mendaki punggungan bukit, Medan berbatu",Area camping,Jalur pedesaan yang sempit,Savana,Musim Semi,3.9
439,Biser,Bondowoso; Situbondo,1359,Mudah,Ya,2,300000,2,Tidak,"Matahari terbit, Hutan hujan tropis","Variasi medan dataran rendah, Melewati sungai kecil, Melintasi padang edelweis","Penyewaan alat camping, Mushola",Mudah dijangkau kendaraan umum,Pemandangan kota,Musim Semi,3.1
440,Suket,Bondowoso; Banyuwangi,2950,Sulit,Tidak,3,600000,5,Tergantung Musim,Artefak kuno,"Jalur curam di beberapa titik, Hutan lebat dan lembab, Medan terbuka tanpa naungan","Penginapan sederhana, Shelter, Toilet",Jalur pedesaan yang sempit,Pemandangan kota,Musim Kemarau Awal,3.0
441,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,2,600000,6,Tergantung Musim,Desa adat,"Melewati sungai kecil, Jalur curam di beberapa titik","Toilet, Area parkir, Mushola",Mudah dijangkau kendaraan umum,Pemandangan pegunungan,Kemarau,3.5
442,Blorobrubuh,Mojokerto,2282,Sedang,Ya,2,600000,2,Tidak,Banyak air terjun kecil,"Banyak bonus pemandangan, Jalur curam di beberapa titik, Melewati sungai kecil","Petugas siaga, Area parkir",Membutuhkan ojek lokal,Pemandangan laut,Kemarau,3.2
443,Semeru,Malang; Lumajang,3676,Sulit,Tidak,2,1200000,6,Ya,"Situs purbakala, Padang savana luas","Variasi medan dataran rendah, Melintasi jalur rel kereta api tua, Jalur licin saat hujan",Area parkir,Membutuhkan ojek lokal,Savana,Musim Kemarau Awal,4.7
444,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Ya,3,600000,2,Tidak,Puncak kembar,Mendaki punggungan bukit,"Toilet, Petugas siaga",Jalur pedesaan yang sempit,Sunset view,Kemarau,3.7
445,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Tidak,1,450000,4,Tidak,"Padang savana luas, Artefak kuno","Banyak bonus pemandangan, Trek berbatu, Jalur landai","Basecamp dasar, Toilet, Pos pendakian lengkap",Jalur pedesaan yang sempit,Pemandangan kota,Hindari Musim Hujan,3.5
446,Panderman,Batu,2045,Sedang,Ya,2,300000,4,Tergantung Musim,Pasir vulkanik,"Jalur berlumpur, Jalur aman dan terpelihara, Banyak bonus pemandangan","Penginapan sederhana, Shelter, Penyewaan alat camping",Jalur pedesaan yang sempit,Savana,Sepanjang Tahun,3.6
447,Berungkal,Lumajang,1040,Mudah,Ya,2,100000,0,Tidak,"Kawah belerang, Hutan hujan tropis","Melintasi jalur rel kereta api tua, Mendaki punggungan bukit, Jalur curam di beberapa titik","Sumber air, Pos pendakian lengkap",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Musim Kemarau Awal,2.8
448,Semeru,Malang; Lumajang,3676,Sulit,Tidak,3,900000,4,Ya,"Ranu Kumbolo, Candi kuno",Medan terbuka tanpa naungan,"Sumber air, Pos pendakian lengkap",Mudah dijangkau kendaraan umum,Pemandangan danau,Kemarau,4.6
449,Butak,Malang; Blitar,2868,Sedang,Ya,1,450000,3,Tidak,Jalur menantang,"Jalur licin saat hujan, Tangga alami",Basecamp dasar,Jalur pedesaan yang sempit,Pemandangan kawah,Kemarau,4.0
450,Liman,Ponorogo; Nganjuk,2563,Sulit,Tidak,2,900000,4,Ya,"Gurun pasir, Artefak kuno, Adat istiadat unik","Jalur berlumpur, Variasi medan dataran rendah, Melintasi padang edelweis","Shelter, Area camping",Membutuhkan ojek lokal,Pemandangan kawah,Musim Semi,3.5
451,Biser,Bondowoso; Situbondo,1359,Mudah,Ya,1,300000,2,Tidak,Hutan lebat,"Area padang rumput, Banyak bonus pemandangan","Mushola, Area parkir, Pusat informasi","Akses sulit, perlu off-road",Pemandangan danau,Sepanjang Tahun,3.1
452,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,1,200000,1,Tidak,Air terjun alami,"Jalur aman dan terpelihara, Tangga alami","Sumber air, Pos pendakian lengkap",Membutuhkan ojek lokal,Pemandangan perkebunan,Kemarau,2.6
453,Kawi,Malang,2551,Sulit,Tidak,3,1200000,6,Tergantung Musim,"Budaya lokal kental, Jalur populer",Jalur berlumpur,Penyewaan alat camping,Membutuhkan kendaraan pribadi,Pemandangan laut,Kemarau,4.4
454,Lawu,Magetan,3265,Sulit,Tidak,2,1200000,4,Ya,"Situs purbakala, Budaya lokal kental, Jalur utama","Medan terbuka tanpa naungan, Beberapa tanjakan curam","Area parkir, Area camping, Penginapan sederhana",Membutuhkan kendaraan pribadi,Pemandangan pegunungan,Kemarau,4.4
455,Argoyayang,Jombang; Malang,2162,Mudah,Ya,1,200000,1,Tidak,"City lights, Jalur menantang","Area padang rumput, Jalur berpasir vulkanik, Jalur landai","Shelter, Penyewaan alat camping",Jalur pedesaan yang sempit,Savana,Musim Semi,3.0
456,Anjasmoro,Jombang; Mojokerto; Kediri; Malang; Batu,2282,Sedang,Ya,1,450000,4,Tergantung Musim,"Budaya lokal kental, Jalur alternatif","Variasi medan dataran rendah, Beberapa tanjakan curam, Mendaki punggungan bukit","Shelter, Mushola, Jasa porter","Akses sulit, perlu off-road",Pemandangan danau,Hindari Musim Hujan,3.9
457,Kelud,Kediri; Blitar; Malang,1731,Sedang,Tidak,2,600000,3,Tidak,Hamparan savana,"Melintasi jalur rel kereta api tua, Banyak bonus pemandangan, Melewati sungai kecil",Sumber air,Membutuhkan kendaraan pribadi,Hutan hijau lebat,Hindari Musim Hujan,4.3
458,Kelud,Kediri; Blitar; Malang,1731,Mudah,Ya,2,100000,1,Tidak,"View matahari terbit, City lights","Jalur licin saat hujan, Variasi medan dataran rendah",Shelter,Mudah dijangkau kendaraan umum,Sunset view,Hindari Musim Hujan,3.9
459,Suket,Bondowoso; Banyuwangi,2950,Sulit,Tidak,4,900000,4,Tergantung Musim,"Banyak air terjun kecil, Jalur populer",Jalur curam di beberapa titik,"Mushola, Pos pendakian lengkap, Area camping",Dekat jalan raya utama,Hutan hijau lebat,Musim Kemarau Awal,2.9
460,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,3,1200000,6,Tergantung Musim,Candi kuno,"Jalur landai, Jalur aman dan terpelihara","Mushola, Sumber air, Area parkir",Mudah dijangkau kendaraan umum,Pemandangan kota,Musim Semi,4.7
461,Baluran,Situbondo,1247,Mudah,Ya,2,100000,0,Tidak,"Danau alami, Candi kuno, Banyak air terjun kecil","Melintasi padang edelweis, Hutan lebat dan lembab",Sumber air,Mudah dijangkau kendaraan umum,Savana,Kemarau,3.6
462,Welirang,Batu; Pasuruan; Mojokerto,3156,Sulit,Tidak,3,900000,4,Tergantung Musim,"Flora dan fauna unik, Danau kawah","Jalur landai, Jalur aman dan terpelihara","Area camping, Mushola",Membutuhkan kendaraan pribadi,Pemandangan laut,Hindari Musim Hujan,3.6
463,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Tidak,1,600000,4,Tergantung Musim,"Artefak kuno, Panorama kota, Hutan hujan tropis",Jalur curam di beberapa titik,"Pusat informasi, Toilet",Mudah dijangkau kendaraan umum,Sunset view,Musim Kemarau Awal,4.2
464,Blorobrubuh,Mojokerto,2282,Mudah,Ya,1,100000,1,Tidak,Jalur populer,Beberapa tanjakan curam,Mushola,"Akses sulit, perlu off-road",Pemandangan pegunungan,Hindari Musim Hujan,2.9
465,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,2,1200000,5,Tergantung Musim,"Lautan pasir, Matahari terbit, Adat istiadat unik","Jalur aman dan terpelihara, Jalur licin saat hujan",Shelter,Membutuhkan ojek lokal,Pemandangan danau,Sepanjang Tahun,3.3
466,Liman,Ponorogo; Nganjuk,2563,Sulit,Tidak,2,600000,6,Tergantung Musim,"Panorama kota, Peninggalan sejarah","Hutan lebat dan lembab, Jalur aman dan terpelihara","Pos pendakian lengkap, Pusat informasi",Dekat jalan raya utama,Pemandangan danau,Musim Semi,3.6
467,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,3,1200000,4,Tergantung Musim,"Puncak ikonik, City lights","Medan terbuka tanpa naungan, Jalur panjang dan melelahkan, Jalur landai","Mushola, Pos pendakian lengkap, Jasa porter",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Musim Kemarau Awal,4.1
468,Liman,Ponorogo; Nganjuk,2563,Sedang,Ya,3,300000,2,Tidak,Bukit savana,"Banyak bonus pemandangan, Beberapa tanjakan curam",Area camping,Dekat jalan raya utama,Sunset view,Musim Kemarau Awal,3.3
469,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,2,200000,0,Tidak,"Pemandangan kota dari ketinggian, Matahari terbit","Medan berbatu, Variasi medan dataran rendah",Penginapan sederhana,Membutuhkan ojek lokal,Pemandangan danau,Kemarau,4.6
470,Panderman,Batu,2045,Mudah,Ya,1,300000,2,Tidak,"Hutan hujan tropis, Lautan pasir, Candi kuno","Mendaki punggungan bukit, Area padang rumput",Mushola,Membutuhkan kendaraan pribadi,Pemandangan perkebunan,Hindari Musim Hujan,3.7
471,Arjuno,Malang,3339,Sulit,Tidak,3,1200000,5,Tergantung Musim,"Jalur alternatif, Air terjun tersembunyi, Kawah vulkanik",Banyak bonus pemandangan,Toilet,Membutuhkan ojek lokal,Pemandangan laut,Kemarau,4.6
472,Baluran,Situbondo,1247,Mudah,Ya,1,300000,0,Tidak,"Hamparan savana, Budaya lokal kental, Panorama kota","Hutan lebat dan lembab, Melewati sungai kecil","Area camping, Penginapan sederhana","Akses sulit, perlu off-road",Pemandangan perkebunan,Musim Kemarau Awal,3.4
473,Baluran,Situbondo,1247,Mudah,Ya,2,300000,0,Tidak,"Puncak kembar, Banyak air terjun kecil, Ranu Kumbolo",Jalur berpasir vulkanik,Pusat informasi,Membutuhkan ojek lokal,Pemandangan perkebunan,Musim Semi,3.6
474,Biser,Bondowoso; Situbondo,1359,Mudah,Ya,1,200000,0,Tidak,"Hutan hujan tropis, Kawah belerang, Banyak air terjun kecil",Beberapa tanjakan curam,"Penyewaan alat camping, Toilet, Area camping",Membutuhkan kendaraan pribadi,Pemandangan kawah,Hindari Musim Hujan,2.7
475,Butak,Malang; Blitar,2868,Sedang,Tidak,2,300000,4,Tidak,"Air terjun alami, Peninggalan sejarah, Hutan pinus","Medan terbuka tanpa naungan, Banyak bonus pemandangan","Warung, Area camping",Mudah dijangkau kendaraan umum,Pemandangan danau,Musim Semi,3.2
476,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,2,300000,2,Tidak,"Pemandangan sunrise, Flora dan fauna unik",Medan terbuka tanpa naungan,Toilet,"Akses sulit, perlu off-road",Sunset view,Kemarau,3.3
477,Penanggungan,Mojokerto; Pasuruan,1653,Sedang,Tidak,3,600000,3,Tergantung Musim,"Puncak ikonik, Panorama kota, Danau indah","Jalur berpasir vulkanik, Area padang rumput","Warung, Petugas siaga, Pusat informasi",Membutuhkan ojek lokal,Pemandangan pegunungan,Sepanjang Tahun,4.4
478,Penanggungan,Mojokerto; Pasuruan,1653,Mudah,Ya,2,100000,0,Tidak,Flora dan fauna unik,"Melintasi jalur rel kereta api tua, Tanjakan terjal","Penyewaan alat camping, Area parkir","Akses sulit, perlu off-road",Hutan hijau lebat,Hindari Musim Hujan,4.3
479,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,100000,2,Tidak,"Hutan pinus, Jalur alternatif, Air terjun alami",Melintasi jalur rel kereta api tua,"Warung, Penyewaan alat camping, Toilet","Akses sulit, perlu off-road",Sunset view,Musim Semi,3.3
480,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,2,100000,0,Tidak,"Kawah aktif, Ranu Kumbolo","Medan berbatu, Melewati sungai kecil, Variasi medan dataran rendah","Area parkir, Basecamp dasar, Warung",Membutuhkan kendaraan pribadi,Pemandangan pegunungan,Sepanjang Tahun,2.7
481,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,2,600000,5,Tergantung Musim,"Hutan pinus, Danau kawah","Jalur panjang dan melelahkan, Jalur landai, Jalur curam di beberapa titik",Pos pendakian lengkap,Mudah dijangkau kendaraan umum,Hutan hijau lebat,Musim Semi,3.6
482,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,3,900000,6,Tergantung Musim,"Hutan lebat, Lautan pasir, Adat istiadat unik","Variasi medan dataran rendah, Beberapa tanjakan curam",Penyewaan alat camping,"Akses sulit, perlu off-road",Savana,Musim Kemarau Awal,3.0
483,Kelud,Kediri; Blitar; Malang,1731,Mudah,Ya,1,200000,1,Tidak,"Hutan pinus, View matahari terbit, Artefak kuno",Variasi medan dataran rendah,"Shelter, Area camping","Akses sulit, perlu off-road",Sunset view,Hindari Musim Hujan,3.7
484,Suket,Bondowoso; Banyuwangi,2950,Sulit,Tidak,2,600000,5,Tergantung Musim,"Panorama kota, Kawah vulkanik","Medan terbuka tanpa naungan, Melintasi padang edelweis","Pusat informasi, Shelter, Petugas siaga",Membutuhkan kendaraan pribadi,Sunset view,Musim Kemarau Awal,3.1
485,Panderman,Batu,2045,Mudah,Ya,2,200000,1,Tidak,Jalur populer,"Melintasi padang edelweis, Melewati sungai kecil, Jalur curam di beberapa titik","Sumber air, Penyewaan alat camping",Membutuhkan ojek lokal,Pemandangan danau,Sepanjang Tahun,4.1
486,Ijen,Banyuwangi,2386,Mudah,Ya,1,100000,1,Tidak,"Pemandangan kota dari ketinggian, Spot sunrise terbaik",Jalur licin saat hujan,"Area camping, Warung",Dekat jalan raya utama,Pemandangan perkebunan,Hindari Musim Hujan,5.0
487,Ijen,Banyuwangi,2386,Sedang,Tidak,2,600000,4,Tidak,"Puncak tertinggi, Hamparan savana, Situs purbakala",Jalur berpasir vulkanik,"Petugas siaga, Area camping",Mudah dijangkau kendaraan umum,Pemandangan perkebunan,Sepanjang Tahun,4.3
488,Anjasmoro,Jombang; Mojokerto; Kediri; Malang; Batu,2282,Mudah,Ya,1,300000,2,Tidak,"Air terjun tersembunyi, Peninggalan sejarah, Panorama kota","Beberapa tanjakan curam, Tangga alami, Jalur aman dan terpelihara","Petugas siaga, Toilet, Sumber air",Membutuhkan kendaraan pribadi,Pemandangan kawah,Musim Kemarau Awal,3.7
489,Ijen,Banyuwangi,2386,Mudah,Ya,1,200000,2,Tidak,"Puncak tertinggi, Jalur populer",Jalur landai,"Petugas siaga, Area parkir",Membutuhkan ojek lokal,Sunset view,Sepanjang Tahun,5.0
490,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,4,600000,6,Tergantung Musim,Puncak kembar,"Mendaki punggungan bukit, Jalur berpasir vulkanik","Penginapan sederhana, Basecamp dasar",Mudah dijangkau kendaraan umum,Pemandangan perkebunan,Kemarau,3.4
491,Biser,Bondowoso; Situbondo,1359,Mudah,Ya,2,300000,1,Tidak,"Panorama kota, Hamparan savana, Ranu Kumbolo","Tanjakan terjal, Jalur berpasir vulkanik, Jalur licin saat hujan","Pos pendakian lengkap, Area parkir, Mushola",Jalur pedesaan yang sempit,Pemandangan perkebunan,Kemarau,3.2
492,Panderman,Batu,2045,Sedang,Ya,1,450000,4,Tergantung Musim,Padang savana luas,Beberapa tanjakan curam,"Basecamp dasar, Jasa porter",Jalur pedesaan yang sempit,Pemandangan kawah,Musim Kemarau Awal,4.1
493,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sedang,Tidak,1,450000,3,Tergantung Musim,"Pasir vulkanik, Danau kawah","Jalur berpasir vulkanik, Jalur landai",Toilet,Membutuhkan kendaraan pribadi,Pemandangan kawah,Musim Kemarau Awal,4.2
494,Liman,Ponorogo; Nganjuk,2563,Sulit,Tidak,4,900000,5,Tergantung Musim,"Puncak tertinggi, Hutan pinus, Pemandangan sunrise","Jalur berpasir vulkanik, Variasi medan dataran rendah","Penyewaan alat camping, Toilet","Akses sulit, perlu off-road",Pemandangan danau,Kemarau,3.4
495,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,4,600000,6,Ya,"Desa adat, Spot sunrise terbaik","Banyak bonus pemandangan, Variasi medan dataran rendah, Trek berbatu","Penginapan sederhana, Pusat informasi, Mushola",Jalur pedesaan yang sempit,Sunset view,Musim Kemarau Awal,5.0
496,Arjuno,Malang,3339,Sulit,Tidak,3,900000,5,Ya,Banyak air terjun kecil,Jalur landai,"Pusat informasi, Sumber air",Mudah dijangkau kendaraan umum,Pemandangan laut,Musim Semi,4.3
497,Kawi,Malang,2551,Sulit,Tidak,2,600000,4,Ya,City lights,Jalur curam di beberapa titik,Mushola,Jalur pedesaan yang sempit,Sunset view,Musim Kemarau Awal,4.4
498,Ijen,Banyuwangi,2386,Mudah,Ya,1,200000,2,Tidak,Banyak air terjun kecil,"Jalur panjang dan melelahkan, Banyak bonus pemandangan","Basecamp dasar, Toilet","Akses sulit, perlu off-road",Pemandangan pegunungan,Musim Semi,4.6
499,Kawi,Malang,2551,Sulit,Tidak,4,900000,6,Tergantung Musim,"Peninggalan sejarah, Panorama kota","Hutan lebat dan lembab, Melintasi jalur rel kereta api tua","Petugas siaga, Area camping, Warung",Mudah dijangkau kendaraan umum,Savana,Musim Kemarau Awal,4.3
500,Berungkal,Lumajang,1040,Mudah,Ya,1,300000,0,Tidak,"Kawah belerang, Pemandangan kota dari ketinggian",Jalur landai,"Jasa porter, Penginapan sederhana",Dekat jalan raya utama,Pemandangan danau,Musim Semi,2.5
501,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,1,300000,0,Tidak,Budaya lokal kental,"Hutan lebat dan lembab, Jalur landai, Melintasi jalur rel kereta api tua",Pusat informasi,Mudah dijangkau kendaraan umum,Pemandangan kota,Kemarau,4.7
502,Ijen,Banyuwangi,2386,Sedang,Tidak,1,450000,4,Tidak,"Pemandangan kawah, Budaya lokal kental",Jalur licin saat hujan,"Sumber air, Pusat informasi, Toilet",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Hindari Musim Hujan,5.0
503,Lawu,Magetan,3265,Sulit,Tidak,4,600000,5,Tergantung Musim,"Danau indah, Budaya lokal kental","Jalur landai, Jalur licin saat hujan",Pos pendakian lengkap,Membutuhkan ojek lokal,Savana,Musim Semi,4.8
504,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,2,100000,0,Tidak,"Hamparan savana, Ranu Kumbolo, Pasir vulkanik","Trek berbatu, Medan terbuka tanpa naungan, Jalur licin saat hujan","Area parkir, Penyewaan alat camping",Membutuhkan kendaraan pribadi,Hutan hijau lebat,Musim Kemarau Awal,2.2
505,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,2,100000,1,Tidak,"Jalur menantang, Budaya lokal kental, Puncak ikonik",Melintasi jalur rel kereta api tua,Petugas siaga,Jalur pedesaan yang sempit,Hutan hijau lebat,Musim Kemarau Awal,5.0
506,Wilis,Kediri; Tulungagung; Trenggalek; Nganjuk; Madiun; Ponorogo,2563,Sulit,Tidak,4,900000,6,Ya,"Puncak ikonik, Budaya lokal kental","Variasi medan dataran rendah, Hutan lebat dan lembab, Jalur licin saat hujan",Pusat informasi,"Akses sulit, perlu off-road",Sunset view,Kemarau,3.8
507,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,2,600000,4,Ya,"Pemandangan sunrise, Banyak air terjun kecil",Beberapa tanjakan curam,Jasa porter,Mudah dijangkau kendaraan umum,Pemandangan danau,Hindari Musim Hujan,3.5
508,Ranti,Bondowoso; Banyuwangi,2601,Sedang,Ya,2,600000,2,Tergantung Musim,"City lights, Hutan lebat","Melewati sungai kecil, Tangga alami, Mendaki punggungan bukit",Penginapan sederhana,Jalur pedesaan yang sempit,Hutan hijau lebat,Musim Semi,3.1
509,Semeru,Malang; Lumajang,3676,Sulit,Tidak,3,600000,5,Tergantung Musim,"Padang savana luas, Desa adat",Mendaki punggungan bukit,"Jasa porter, Area parkir, Pos pendakian lengkap",Membutuhkan kendaraan pribadi,Pemandangan laut,Kemarau,4.6
510,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,1,200000,0,Tidak,City lights,"Jalur licin saat hujan, Melintasi jalur rel kereta api tua, Tanjakan terjal","Petugas siaga, Penyewaan alat camping",Jalur pedesaan yang sempit,Sunset view,Musim Kemarau Awal,5.0
511,Betiri,Jember; Banyuwangi,1233,Mudah,Ya,2,200000,0,Tidak,"Kawah belerang, Budaya lokal kental",Hutan lebat dan lembab,"Pos pendakian lengkap, Area camping, Mushola",Membutuhkan kendaraan pribadi,Hutan hijau lebat,Hindari Musim Hujan,2.3
512,Ijen,Banyuwangi,2386,Sedang,Ya,3,300000,2,Tergantung Musim,Jalur menantang,"Jalur licin saat hujan, Melintasi padang edelweis","Sumber air, Penginapan sederhana",Mudah dijangkau kendaraan umum,Pemandangan perkebunan,Musim Kemarau Awal,4.7
513,Panderman,Batu,2045,Sedang,Tidak,3,300000,3,Tergantung Musim,"Matahari terbit, City lights, Banyak air terjun kecil","Area padang rumput, Jalur licin saat hujan","Area parkir, Shelter",Membutuhkan ojek lokal,Pemandangan laut,Kemarau,3.8
514,Ranti,Bondowoso; Banyuwangi,2601,Sulit,Tidak,3,900000,5,Ya,Pemandangan kawah,Jalur berpasir vulkanik,Shelter,Dekat jalan raya utama,Hutan hijau lebat,Kemarau,3.3
515,Blorobrubuh,Mojokerto,2282,Mudah,Ya,2,300000,0,Tidak,Desa adat,"Mendaki punggungan bukit, Medan berbatu, Jalur landai","Petugas siaga, Toilet",Jalur pedesaan yang sempit,Pemandangan laut,Musim Kemarau Awal,2.8
516,Butak,Malang; Blitar,2868,Sedang,Ya,1,600000,3,Tergantung Musim,"Budaya lokal kental, Peninggalan sejarah, Pemandangan kawah",Melintasi jalur rel kereta api tua,"Sumber air, Area parkir, Penginapan sederhana",Jalur pedesaan yang sempit,Pemandangan kota,Musim Semi,3.5
517,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,1,300000,1,Tidak,"Puncak kembar, Spot sunrise terbaik, Danau indah","Medan berbatu, Tanjakan terjal","Area camping, Penyewaan alat camping",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Musim Semi,2.8
518,Welirang,Batu; Pasuruan; Mojokerto,3156,Sulit,Tidak,2,900000,6,Tergantung Musim,"Pasir vulkanik, Candi kuno",Jalur berlumpur,Toilet,"Akses sulit, perlu off-road",Pemandangan laut,Hindari Musim Hujan,3.5
519,Argoyayang,Jombang; Malang,2162,Sedang,Tidak,2,300000,4,Tidak,Jalur menantang,Melintasi jalur rel kereta api tua,Shelter,"Akses sulit, perlu off-road",Sunset view,Musim Kemarau Awal,3.3
520,Ijen,Banyuwangi,2386,Mudah,Ya,2,100000,0,Tidak,"Pasir vulkanik, Banyak air terjun kecil, Peninggalan sejarah","Variasi medan dataran rendah, Jalur panjang dan melelahkan, Trek berbatu","Toilet, Area camping, Penginapan sederhana","Akses sulit, perlu off-road",Pemandangan kawah,Hindari Musim Hujan,4.3
521,Arjuno,Malang,3339,Sulit,Tidak,4,900000,4,Ya,Kawah aktif,"Jalur licin saat hujan, Trek berbatu, Variasi medan dataran rendah",Area camping,"Akses sulit, perlu off-road",Pemandangan laut,Musim Kemarau Awal,4.8
522,Semeru,Malang; Lumajang,3676,Sulit,Tidak,2,900000,4,Ya,"Kawah vulkanik, Jalur menantang, Bukit savana","Mendaki punggungan bukit, Melintasi padang edelweis, Jalur berpasir vulkanik",Penginapan sederhana,Membutuhkan kendaraan pribadi,Pemandangan laut,Musim Semi,4.8
523,Liman,Ponorogo; Nganjuk,2563,Sulit,Tidak,3,600000,5,Tergantung Musim,"Banyak air terjun kecil, Puncak kembar",Medan terbuka tanpa naungan,Warung,Membutuhkan kendaraan pribadi,Hutan hijau lebat,Sepanjang Tahun,3.0
524,Liman,Ponorogo; Nganjuk,2563,Sulit,Tidak,2,600000,4,Ya,"Matahari terbit, Desa adat","Melintasi padang edelweis, Beberapa tanjakan curam","Basecamp dasar, Pos pendakian lengkap","Akses sulit, perlu off-road",Pemandangan kota,Musim Kemarau Awal,3.3
525,Semeru,Malang; Lumajang,3676,Sulit,Tidak,3,1200000,5,Ya,"Adat istiadat unik, Jalur alternatif, Puncak kembar","Melewati sungai kecil, Variasi medan dataran rendah, Jalur landai","Warung, Penyewaan alat camping, Shelter",Mudah dijangkau kendaraan umum,Hutan hijau lebat,Musim Semi,4.6
526,Bromo,Probolinggo; Lumajang; Malang,2329,Mudah,Ya,1,300000,1,Tidak,Puncak ikonik,"Beberapa tanjakan curam, Jalur berlumpur","Shelter, Jasa porter",Mudah dijangkau kendaraan umum,Pemandangan kawah,Kemarau,4.6
527,Pandan,Bojonegoro; Madiun; Nganjuk,903,Mudah,Ya,2,200000,2,Tidak,"Peninggalan sejarah, Jalur alternatif, Danau indah","Melintasi padang edelweis, Medan berbatu","Jasa porter, Shelter",Jalur pedesaan yang sempit,Pemandangan kawah,Musim Kemarau Awal,3.1
528,Raung,Bondowoso; Jember; Banyuwangi,3244,Sulit,Tidak,2,900000,4,Ya,Air terjun alami,"Jalur berlumpur, Trek berbatu","Mushola, Pos pendakian lengkap",Mudah dijangkau kendaraan umum,Pemandangan laut,Sepanjang Tahun,4.9
